article_id, sim1, sim2, sim3
35, 0.8907549977302551, 0.8197541236877441, 0.9473398923873901
36, 0.8956878185272217, 0.8791223764419556, 0.9397952556610107
37, 0.8665614128112793, 0.8717741966247559, 0.903803288936615
38, 0.8535395860671997, 0.9505118131637573, 0.8970352411270142
39, 0.7361723184585571, 0.7997622489929199, 0.8574672937393188
40, 0.7349419593811035, 0.814588189125061, 0.7979660034179688
41, 0.8223806619644165, 0.7344725728034973, 0.9235960245132446
42, 0.7450827956199646, 0.8734070658683777, 0.8852174282073975
43, 0.865660548210144, 0.8665714263916016, 0.920059859752655
44, 0.8944444060325623, 0.8697241544723511, 0.8617261052131653
45, 0.8361232280731201, 0.8487218618392944, 0.9089492559432983
46, 0.8915072679519653, 0.9362468719482422, 0.9022212028503418
47, 0.874631404876709, 0.7681292295455933, 0.9366016387939453
48, 0.8918602466583252, 0.9043397903442383, 0.9350478053092957
49, 0.7664065957069397, 0.8156049251556396, 0.9313571453094482
50, 0.9234602451324463, 0.8563505411148071, 0.9473558664321899
51, 0.9002671241760254, 0.9215067028999329, 0.8949315547943115
52, 0.6898567080497742, 0.8446605205535889, 0.8592990636825562
53, 0.8426365852355957, 0.8861117959022522, 0.9379759430885315
54, 0.7761385440826416, 0.6372859477996826, 0.567628026008606
55, 0.746464192867279, 0.8716803789138794, 0.9520811438560486
56, 0.811002254486084, 0.8877118825912476, 0.8895095586776733
57, 0.8886740803718567, 0.8306996822357178, 0.9200680255889893
58, 0.8411024808883667, 0.8296025395393372, 0.9404354095458984
59, 0.8666527271270752, 0.8031899929046631, 0.9087702035903931
60, 0.8788864612579346, 0.8603593707084656, 0.9524152278900146
61, 0.8702507019042969, 0.9056037664413452, 0.9513209462165833
62, 0.893948495388031, 0.8586138486862183, 0.9503522515296936
63, 0.8647556304931641, 0.7953152656555176, 0.8952587246894836
64, 0.8197993040084839, 0.7910813093185425, 0.9236922264099121
65, 0.867230236530304, 0.8433653116226196, 0.9543251991271973
66, 0.7926260232925415, 0.840304970741272, 0.8828781247138977
67, 0.7997704148292542, 0.66342693567276, 0.8783582448959351
68, 0.8729386329650879, 0.907107949256897, 0.9450541138648987
69, 0.9185255765914917, 0.9291538000106812, 0.9726163148880005
70, 0.9342173337936401, 0.9223467707633972, 0.9482420682907104
71, 0.8878395557403564, 0.8051818609237671, 0.8972830772399902
72, 0.8416057825088501, 0.8938385248184204, 0.8897949457168579
73, 0.8788009881973267, 0.7663983702659607, 0.933837890625
74, 0.901343584060669, 0.8677565455436707, 0.9346132278442383
75, 0.8333793878555298, 0.7993265390396118, 0.9437530040740967
76, 0.760634183883667, 0.851312518119812, 0.85792076587677
77, 0.9601863622665405, 0.8980021476745605, 0.8352925181388855
78, 0.7944435477256775, 0.8407589793205261, 0.9291523694992065
79, 0.852292537689209, 0.8309134244918823, 0.9266492128372192
80, 0.9521867036819458, 0.9727293252944946, 0.9732994437217712
81, 0.9154825210571289, 0.9243033528327942, 0.9264224767684937
82, 0.8023397326469421, 0.8702412843704224, 0.8707770109176636
83, 0.8521722555160522, 0.8370864391326904, 0.9228447675704956
84, 0.8435149192810059, 0.8680113554000854, 0.9312667846679688
85, 0.8878797888755798, 0.9145143032073975, 0.9620623588562012
86, 0.9323793649673462, 0.7352811098098755, 0.9485470056533813
87, 0.9020336270332336, 0.9570355415344238, 0.964635968208313
88, 0.8865766525268555, 0.9153141379356384, 0.9264563322067261
89, 0.883940577507019, 0.8847134113311768, 0.8716611862182617
