article_id, sim0, simlev1, simlev2, simlev3, simlev4, simlev5, simlev6, simlev7, simlev8, simlev9
67, 0.9117988348007202, 0.9211923480033875, 0.9157743453979492, 0.9393911361694336, 0.9446201324462891, 0.9427518844604492, 0.9328355193138123, 0.9347797632217407, 0.9411932826042175, 0.9332385063171387
68, 0.9579538702964783, 0.9645408987998962, 0.9755238890647888, 0.9668043255805969, 0.9572141170501709, 0.9746249318122864, 0.9675003290176392, 0.9686340689659119, 0.9564701318740845, 0.9674500226974487
69, 0.9013178944587708, 0.8814728856086731, 0.9409946799278259, 0.8986079096794128, 0.8881505727767944, 0.9024035334587097, 0.8878009915351868, 0.9093040227890015, 0.8840126991271973, 0.9518117904663086
70, 0.8909435868263245, 0.8955028057098389, 0.9222326278686523, 0.9166134595870972, 0.8935864567756653, 0.9013144373893738, 0.8892553448677063, 0.8941951990127563, 0.9186310172080994, 0.885049045085907
71, 0.9270075559616089, 0.9648069143295288, 0.964687705039978, 0.9538179039955139, 0.9641100168228149, 0.9476400017738342, 0.953812837600708, 0.9482660293579102, 0.9551414251327515, 0.9417238831520081
72, 0.9716381430625916, 0.9781576991081238, 0.9713337421417236, 0.9664746522903442, 0.9791199564933777, 0.9677937030792236, 0.9653102159500122, 0.9766319990158081, 0.9572097659111023, 0.9729592800140381
73, 0.9175518751144409, 0.9338973760604858, 0.9471136331558228, 0.9743120074272156, 0.9579530954360962, 0.9661390781402588, 0.9454037547111511, 0.9597448110580444, 0.957608163356781, 0.9309168457984924
74, 0.9497200846672058, 0.9630551934242249, 0.9838024377822876, 0.9590477347373962, 0.9604030847549438, 0.9657358527183533, 0.9621323943138123, 0.9471767544746399, 0.9508441686630249, 0.9402569532394409
75, 0.8945450782775879, 0.9269567131996155, 0.8956038951873779, 0.9495007395744324, 0.9331850409507751, 0.9058936238288879, 0.9445342421531677, 0.930781900882721, 0.9454095959663391, 0.916373074054718
76, 0.9212290644645691, 0.9506304860115051, 0.9608926773071289, 0.918513298034668, 0.9385738968849182, 0.9319731593132019, 0.9547562599182129, 0.9341660141944885, 0.9277403950691223, 0.9210293889045715
77, 0.9078361988067627, 0.9674512147903442, 0.9504349231719971, 0.9634903073310852, 0.9503198266029358, 0.9465969204902649, 0.9370731115341187, 0.9422354102134705, 0.9237470030784607, 0.9168700575828552
78, 0.92282634973526, 0.8961822390556335, 0.9724363684654236, 0.9584676623344421, 0.9214209318161011, 0.9082626104354858, 0.91022789478302, 0.9139652848243713, 0.911751925945282, 0.917267918586731
79, 0.8926429152488708, 0.9199481010437012, 0.9111065864562988, 0.8935631513595581, 0.8999156951904297, 0.9137396812438965, 0.9180116057395935, 0.901574969291687, 0.9016454815864563, 0.917159378528595
80, 0.9356582760810852, 0.9796348810195923, 0.9472936391830444, 0.9558930993080139, 0.9405115246772766, 0.9585383534431458, 0.932590663433075, 0.9512977004051208, 0.9515535235404968, 0.9586160182952881
81, 0.9492422938346863, 0.9568729400634766, 0.92806476354599, 0.9571236371994019, 0.921542227268219, 0.9402016997337341, 0.9210332036018372, 0.9439177513122559, 0.926974892616272, 0.9378228783607483
82, 0.9341982007026672, 0.955725908279419, 0.9703173637390137, 0.9628852009773254, 0.9684640169143677, 0.9484880566596985, 0.9255051016807556, 0.9331523776054382, 0.9566450119018555, 0.9547393918037415
83, 0.9273749589920044, 0.9529852867126465, 0.9633703827857971, 0.967231273651123, 0.9628332853317261, 0.926067590713501, 0.9388427734375, 0.9397655129432678, 0.9487375617027283, 0.9380393624305725
84, 0.9138732552528381, 0.9696356654167175, 0.9648219347000122, 0.9575237035751343, 0.9416292309761047, 0.9226265549659729, 0.9450694918632507, 0.9535523056983948, 0.9383715987205505, 0.9259633421897888
85, 0.9479709267616272, 0.9733606576919556, 0.9773857593536377, 0.9702833294868469, 0.9649083018302917, 0.9583004117012024, 0.963729739189148, 0.9549863934516907, 0.9759649038314819, 0.9686705470085144
86, 0.9126325249671936, 0.9429140686988831, 0.9421011805534363, 0.9196332693099976, 0.9245114922523499, 0.9088739156723022, 0.9078156352043152, 0.9271948933601379, 0.922477662563324, 0.9255073666572571
87, 0.9086398482322693, 0.9090743660926819, 0.9119318723678589, 0.9082074165344238, 0.9348196983337402, 0.9493915438652039, 0.910768449306488, 0.93505859375, 0.9459798336029053, 0.9314435720443726
