article_id, sim0, simlev1, simlev2, simlev3, simlev4, simlev5, simlev6, simlev7, simlev8, simlev9
45, 0.8860317468643188, 0.916641354560852, 0.967694878578186, 0.8981007933616638, 0.9657102823257446, 0.9233593940734863, 0.959949254989624, 0.9543976783752441, 0.9158772230148315, 0.9223414659500122
46, 0.819536030292511, 0.8500597476959229, 0.8122385144233704, 0.7920742034912109, 0.8538848161697388, 0.8499135971069336, 0.8526407480239868, 0.8164971470832825, 0.8415097594261169, 0.822253942489624
47, 0.9472576379776001, 0.9391444325447083, 0.9610364437103271, 0.9327417612075806, 0.9548239707946777, 0.935073733329773, 0.9267936944961548, 0.9234327077865601, 0.9328347444534302, 0.9315657615661621
48, 0.8463603258132935, 0.9323593974113464, 0.8680747747421265, 0.882870078086853, 0.8662828207015991, 0.9183700084686279, 0.9085817337036133, 0.8679981231689453, 0.8405670523643494, 0.8915419578552246
49, 0.9382359981536865, 0.9815486669540405, 0.9834719896316528, 0.9579200744628906, 0.9844788312911987, 0.9559564590454102, 0.964009702205658, 0.969302773475647, 0.9754258394241333, 0.9734253287315369
50, 0.9463099837303162, 0.9867147207260132, 0.9885762333869934, 0.9431862831115723, 0.994132399559021, 0.9783520102500916, 0.9500514268875122, 0.9854200482368469, 0.9501125812530518, 0.9811779856681824
51, 0.9407908916473389, 0.961527407169342, 0.9429782629013062, 0.9542497396469116, 0.9255536794662476, 0.9317941069602966, 0.9278665781021118, 0.9339972734451294, 0.9301029443740845, 0.9269038438796997
52, 0.9734399318695068, 0.9725744724273682, 0.9746462106704712, 0.963293731212616, 0.9353310465812683, 0.9691025018692017, 0.9350854754447937, 0.9433035850524902, 0.9447361826896667, 0.9492088556289673
53, 0.929003119468689, 0.9256598949432373, 0.9862549304962158, 0.9376647472381592, 0.9436633586883545, 0.929692268371582, 0.9432849287986755, 0.8831995725631714, 0.9306302070617676, 0.9134534597396851
54, 0.8567355871200562, 0.9169914722442627, 0.9158186316490173, 0.9304176568984985, 0.9405965805053711, 0.9201622009277344, 0.9164813756942749, 0.8958261013031006, 0.9280192852020264, 0.9712594747543335
55, 0.9613639116287231, 0.960213303565979, 0.9376490712165833, 0.942478597164154, 0.948134183883667, 0.9572137594223022, 0.9594440460205078, 0.9398940205574036, 0.9494150876998901, 0.9488487243652344
56, 0.97623610496521, 0.9612413644790649, 0.9833588004112244, 0.9750887155532837, 0.9823812246322632, 0.9714637994766235, 0.9574849605560303, 0.9787042140960693, 0.981831431388855, 0.9839639663696289
57, 0.9904652833938599, 0.9957464933395386, 0.9918529391288757, 0.9958689212799072, 0.9944850206375122, 0.9940427541732788, 0.9865801930427551, 0.992396354675293, 0.9917719960212708, 0.9940452575683594
58, 0.9415391683578491, 0.9405204057693481, 0.9442493915557861, 0.9447997808456421, 0.8994096517562866, 0.9368352293968201, 0.9332890510559082, 0.9207186698913574, 0.8922635912895203, 0.9152431488037109
59, 0.9212576746940613, 0.9592047333717346, 0.9402158260345459, 0.9361929297447205, 0.9473558068275452, 0.9422187805175781, 0.9727807641029358, 0.935427188873291, 0.8834030032157898, 0.9447439908981323
60, 0.9712345600128174, 0.9852453470230103, 0.9939372539520264, 0.9628095626831055, 0.9673260450363159, 0.9850807189941406, 0.9554535746574402, 0.9679086804389954, 0.9824758172035217, 0.987512469291687
61, 0.9672110080718994, 0.9750983715057373, 0.9530442953109741, 0.9740550518035889, 0.9573932886123657, 0.9739956855773926, 0.9633734226226807, 0.9636527299880981, 0.9682568907737732, 0.9495977163314819
62, 0.9744841456413269, 0.9982532262802124, 0.9895504713058472, 0.9906501770019531, 0.9874259829521179, 0.9917697906494141, 0.9729503393173218, 0.9885382652282715, 0.9821828603744507, 0.9912147521972656
63, 0.8851695656776428, 0.8903876543045044, 0.9022129774093628, 0.9291146993637085, 0.9175916314125061, 0.9295114278793335, 0.8767958879470825, 0.8980648517608643, 0.8173424005508423, 0.9165822267532349
64, 0.9044625759124756, 0.9033640623092651, 0.9139496088027954, 0.8877735137939453, 0.9094054698944092, 0.920106828212738, 0.9116947650909424, 0.8935514688491821, 0.911602258682251, 0.8849401473999023
65, 0.960389256477356, 0.9676364660263062, 0.9798521399497986, 0.9699992537498474, 0.9615136384963989, 0.953700065612793, 0.9576225280761719, 0.9387944936752319, 0.956620991230011, 0.9704396724700928
